Breed,Group,Portrait Image,Landscape Image,Size,Lifespan,Height,Weight,Friendliness,Family Friendly,Child Friendly,Pet Friendly,Stranger Friendly,Easy to Groom,Energy Levels,Exercise,Health,Shedding Amout,Barks / Howls,Easy to Train,Guard Dog,Playfulness,Watch dog,Apartment Dog,Can be Alone,Good for Busy Owners,Good for New Owners,Intelligence,Health Concerns,Short Description,Long Description
Borzoi,Hound,,,,10 - 12 yrs.,26 - 32 in.,75 - 105 lbs,80,80,60,80,83,67,67,75,80,38,0,60,60,60,80,95,60,60,21,90,"Elegant, graceful, eye-catching, Quiet, rarely barks, Calm and agreeable as an adult, Moderately affectionate, loyal and protective, Self sufficient, not needy, Moderately active, good for active individuals, Good choice for families, Adaptable to virtually any living space, Can live in cooler climates, One of the fastest dogs, Can get along with small pets if raised with them, Rich history, dog of royalty, Excellent sighthound","Borzoi information, facts, and high-quality breed pictures. Learn everything about the Borzoi dog breed including temperament, care, and more.","Borzoi are independent dogs and rarely bark. The breed makes an excellent indoor dog as they are naturally respectful towards people and prefer lying on a cushion than barking at the mailman through the window. Borzoi do well with pets, but have a strong coursing instinct which makes it difficult for them to resist the urge to non-aggressively chase and pin other animals to the ground. The Borzoi is a royal Russian sighthound originating in the 17th century. Many factors make the Borzoi unique and interesting. It is amo..."
Boston Terrier,Utility,,,,13 - 15 yrs.,13 - 15 in.,12 - 25 lbs,95,80,95,95,79,100,67,50,80,25,13,80,50,95,50,95,60,60,84,70,,"Everything about the Boston Terrier dog breed. Discover Boston Terrier coloring, sizing, traits, lifespan, and compare Boston Terriers to other dog breeds.","The Boston Terrier purpose was as a ratter, but the breed also had popularity as a dog fighter (aka ""pit fighter""). Fortunately, dog-fighting is not only unpopular but outlawed, and down-breeding has made this dog much smaller. This has allowed them to be far less ferocious, far more friendly, and, sadly, far more prone to a long list of health problems. Still, these dogs are good for small children who love to play and are mindful, for elderly people, and as family dogs. They are OK for first-time dog owners, but they ..."
Bouvier Des Flandres,Working,,,,10 - 12 yrs.,23 - 28 in.,75 - 100 lbs,80,95,95,40,48,33,33,50,60,50,75,95,60,80,80,60,40,40,42,90,,"Bouvier Des Flandres information, facts, and high-quality breed pictures. Learn everything about the Bouvier Des Flandres dog breed including temperament, care, and more.","A large-sized breed. Males weigh 75-100 pounds, and stand 24-28 inches tall at the shoulders; females weigh 60-80 pounds, and are 23-27 inches in height. Bouvier puppies are lively and energetic, but mature into calm, serene adults. These dogs are loyal and intelligent, but are also strong-willed, independent, and sometimes domineering. Socialization and obedience training, especially as a puppy, are highly recommended for this breed so the Bouvier can learn its proper place in the family “flock.” Once it learns its man..."
Boxer,Working,,,,10 - 12 yrs.,21 - 25 in.,60 - 70 lbs,85,92,95,75,66,67,67,75,40,75,50,60,90,90,70,80,35,30,32,70,"Love kids, Enjoy snuggling, Great guard dogs, Excellent watchdogs, Good for active lifestyles","Everything about the Boxer dog breed. Discover boxer coloring, sizing, traits, lifespan, and compare boxers to other dog breeds.","Even though boxers were bred to be fearless guard dogs, they are loyal to their family and friendly to strangers and guests welcomed by their owners. They are very playful and full of energy. Boxers are an intelligent dog breed, however they are known for being headstrong so it may require patience to fully train the breed. The Boxer is a former hunting dog whose companionship aspect has come to be the main reason most people get one of these dogs. They get along wonderfully with children but need to be trained to not b..."
Bracco Italiano,Gundog,,,,10 - 12 yrs.,21½ - 26½ in.,55 - 88 lbs,80,95,60,95,66,100,83,88,40,50,63,60,10,60,90,20,60,60,42,90,"Not aggressive around strangers, Makes a good WATCHdog, Hunting companion, pointing, retrieving, Excellent sense of smell, Great with kids, Gets along with other pets, Regal, dignified personality, Bonds closely with the owner, Enjoys family time, Exercise buddy, Low maintenance grooming","Bracco Italiano information, facts, and high-quality breed pictures. Learn everything about the Bracco Italiano dog breed including temperament, care, and more.","The Bracco Italiano, or Italian Pointing Dog, if one of 2 gundog breeds originating in Italy. Best known for their dignified expression and temperament, these canine are known for their excellent sense of smell as well as pointing and retrieving abilities. Owners must be athletic and active with plenty of indoor and outdoor space for them. They are good with kids, get along with other pets and require little grooming. However, they are notoriously difficult to train for a new owner-- experienced gundog owners are recomm..."
Braque D’Auvergne,Gundog,,,,12 - 15 yrs.,21 - 24½ in.,49 - 62 lbs,85,89,83,93,86,100,50,63,100,25,25,94,70,73,70,25,65,84,88,90,,Braque D,"A medium-sized breed, Braque D'Auvergnes weigh 49-62 pounds; males stand 22 ½ - 24 ½ inches at the shoulders, while females are 21-23 inches in height. Extremely people-friendly, lively, obedient, and intelligent, this breed is a hard-working hunting dog that makes a fantastic family companion. Braques are excellent tracking dogs, and are very affectionate with children, other animals, and even strangers, but may suffer separation anxiety if left alone."
Briard,Pastoral,,,,10 - 12 yrs.,23 - 27 in.,60 - 90 lbs,85,85,95,95,48,17,50,75,50,63,75,80,90,80,90,60,60,60,63,100,"Cancer, Cataracts, Hip Dysplasia, Ectopic Ureters, Hypothyroidism, Elbow Dysplasia, Von Willebrand's Disease, Progressive Retinal Atrophy (PRA)","Briard information, facts, and high-quality breed pictures. Learn everything about the Briard dog breed including temperament, care, and more.","The Briard is a very old breed of sheepdog native to France. These big, wooly dogs look a lot like a larger Puli but are do not have the distinctly corded coats of that breed. Although they've been around for a very long time, not much is known about them and was not known until the late 19th century. Briards remain favored herding dogs in France, but these days they are also used as companions and are well-known for their participation in dog shows too. They are dogs who are best when they have a job along the lines of..."
Brittany,Gundog,,,,12 - 13 yrs.,17 - 20 in.,30 - 40 lbs,95,95,95,95,83,67,100,88,80,50,50,60,10,95,40,15,20,20,63,90,"Friendly, Eager to please, People-oriented, Very, very smart, Few health issues, Terrific hunting dog, Low grooming needs, Gets along well with other dogs","Everything about the Brittany dog breed. Discover Brittany coloring, sizing, traits, lifespan, and compare Brittanys to other dog breeds.","The Brittany is a hunting dog whose ability to hunt, point and retrieve is respected far and wide. They make excellent family pets with children in the home so long as the kids understand how to respect the dog's space. Surprisingly, some of the more notable Brittany Spaniel problems come from having a noisy environment. They work well in the field with guns going off, but they tend to get quickly anxious with noisy kids and loud homes. They may not always be the best for first-time dog owners as these dogs require a lo..."
Bull Terrier,Terrier,,,,9 - 15 yrs.,18 - 21 in.,45 - 65 lbs,95,95,95,80,96,100,67,50,80,25,13,95,50,95,70,80,40,40,84,60,"Loves children, playful companion, Friendly with most people and strangers, Enjoys living indoors and spending time with his/her family, Fairly healthy, Needs little grooming, Exercise companion, Makes decent alert dog, Can be obedient for firm owner, Excellent show dog, Charming, funny, quirky","Everything about the Bull Terrier dog breed. Discover Bull Terrier coloring, sizing, traits, lifespan, and compare Bull Terriers to other dog breeds.","The breed gained popularity after their appearance as the Budweiser dog in commercials in the late 1980's and again as the Target mascot in the 2000's. Bull terriers are friendly, however they were bred as fighting dogs and will need early socialization to keep them from becoming aggressive around other dogs. The bully English Bull Terrier that originated in the early 1800's may have had been a fierce thing that excelled in dog fights and varmint extermination but today they are impressive show dogs and fantastic compan..."
Bull Terrier (miniature),Terrier,,,,10 - 14 yrs.,10 - 13 in.,28 - 33 lbs,95,95,95,80,96,100,33,50,80,25,75,95,40,95,60,80,40,40,84,60,"Clownish, Very strong, Highly active, Wonderfully small, Few health concerns, Low grooming needs, Not typically aggressive around strangers","Miniature Bull Terrier information, facts, and high-quality breed pictures. Learn everything about the Miniature Bull Terrier dog breed including temperament, care, and more.","The Miniature Bull Terrier (MBT) is a small, muscular and somewhat unique-looking dog. The Roman nose is what distinguishes them: the low, flat line with a strong bump in the middle—from the closely inset eyes all the way down to the nose—gives the impression of an armored vehicle on the move. Contrary to their look, they are clowns at heart. Miniature Bull Terriers were bred for a purpose: to continue using Bulldog breeds for extermination purposes and to have them not be lost due to the laws forbidding bloodspot that ..."
Bulldog,Utility,,,,8 - 12 yrs.,13 - 15 in.,53 - 55 lbs,80,95,80,40,92,100,0,25,80,25,0,60,20,80,40,95,60,60,84,40,"Lovable, Very sweet, Highly tolerant, Doesn't bark much, Low grooming needs, Good with mature kids, Easy going temperament, Few exercise requirements, Doesn't mind being left alone","Everything about the Bulldog breed. Discover English Bulldog coloring, sizing, traits, lifespan, and compare Bulldog to other dog breeds.","Today's bulldog is a child loving companion dog with a gentle nature. Their high pain tolerance and lazy attitude makes them ideal dogs for young rambunctious children whose curiosity and rough housing may intimidate or upset other dogs breeds. Long ago, Bulldogs were bred to be fighting dogs. Typically, that is no longer the case. These dogs are best as companion animals for people who spend a lot of time away from home or who are not overly active. In some ways, Bulldogs are not bad for people wanting their first dogs..."
